imgPath,label
../../data/Training/PALM-Training400/H0004.jpg,2
../../data/Training/PALM-Training400/H0019.jpg,2
../../data/Training/PALM-Training400/P0016.jpg,1
../../data/Training/PALM-Training400/P0064.jpg,1
../../data/Training/PALM-Training400/P0088.jpg,1
../../data/Training/PALM-Training400/N0038.jpg,0
../../data/Training/PALM-Training400/P0062.jpg,1
../../data/Training/PALM-Training400/P0115.jpg,1
../../data/Training/PALM-Training400/N0083.jpg,0
../../data/Training/PALM-Training400/N0065.jpg,0
../../data/Training/PALM-Training400/P0047.jpg,1
../../data/Training/PALM-Training400/P0149.jpg,1
../../data/Training/PALM-Training400/N0093.jpg,0
../../data/Training/PALM-Training400/P0034.jpg,1
../../data/Training/PALM-Training400/N0155.jpg,0
../../data/Training/PALM-Training400/P0128.jpg,1
../../data/Training/PALM-Training400/P0187.jpg,1
../../data/Training/PALM-Training400/P0194.jpg,1
../../data/Training/PALM-Training400/P0053.jpg,1
../../data/Training/PALM-Training400/N0050.jpg,0
../../data/Training/PALM-Training400/P0061.jpg,1
../../data/Training/PALM-Training400/N0085.jpg,0
../../data/Training/PALM-Training400/H0017.jpg,2
../../data/Training/PALM-Training400/N0041.jpg,0
../../data/Training/PALM-Training400/N0128.jpg,0
../../data/Training/PALM-Training400/H0008.jpg,2
../../data/Training/PALM-Training400/H0020.jpg,2
../../data/Training/PALM-Training400/N0112.jpg,0
../../data/Training/PALM-Training400/P0169.jpg,1
../../data/Training/PALM-Training400/P0163.jpg,1
../../data/Training/PALM-Training400/N0106.jpg,0
../../data/Training/PALM-Training400/P0201.jpg,1
../../data/Training/PALM-Training400/P0106.jpg,1
../../data/Training/PALM-Training400/P0200.jpg,1
../../data/Training/PALM-Training400/P0111.jpg,1
../../data/Training/PALM-Training400/N0035.jpg,0
../../data/Training/PALM-Training400/N0054.jpg,0
../../data/Training/PALM-Training400/P0099.jpg,1
../../data/Training/PALM-Training400/P0119.jpg,1
../../data/Training/PALM-Training400/P0095.jpg,1
../../data/Training/PALM-Training400/N0132.jpg,0
../../data/Training/PALM-Training400/N0084.jpg,0
../../data/Training/PALM-Training400/H0018.jpg,2
../../data/Training/PALM-Training400/P0161.jpg,1
../../data/Training/PALM-Training400/H0025.jpg,2
../../data/Training/PALM-Training400/N0150.jpg,0
../../data/Training/PALM-Training400/P0165.jpg,1
../../data/Training/PALM-Training400/P0146.jpg,1
../../data/Training/PALM-Training400/N0142.jpg,0
../../data/Training/PALM-Training400/P0059.jpg,1
../../data/Training/PALM-Training400/P0125.jpg,1
../../data/Training/PALM-Training400/N0120.jpg,0
../../data/Training/PALM-Training400/P0072.jpg,1
../../data/Training/PALM-Training400/N0152.jpg,0
../../data/Training/PALM-Training400/N0094.jpg,0
../../data/Training/PALM-Training400/P0008.jpg,1
../../data/Training/PALM-Training400/P0043.jpg,1
../../data/Training/PALM-Training400/P0079.jpg,1
../../data/Training/PALM-Training400/P0032.jpg,1
../../data/Training/PALM-Training400/P0121.jpg,1
../../data/Training/PALM-Training400/N0011.jpg,0
../../data/Training/PALM-Training400/N0114.jpg,0
../../data/Training/PALM-Training400/P0105.jpg,1
../../data/Training/PALM-Training400/N0130.jpg,0
../../data/Training/PALM-Training400/P0010.jpg,1
../../data/Training/PALM-Training400/P0098.jpg,1
../../data/Training/PALM-Training400/N0034.jpg,0
../../data/Training/PALM-Training400/N0086.jpg,0
../../data/Training/PALM-Training400/N0140.jpg,0
../../data/Training/PALM-Training400/P0177.jpg,1
../../data/Training/PALM-Training400/H0007.jpg,2
../../data/Training/PALM-Training400/P0147.jpg,1
../../data/Training/PALM-Training400/P0089.jpg,1
../../data/Training/PALM-Training400/N0125.jpg,0
../../data/Training/PALM-Training400/H0011.jpg,2
../../data/Training/PALM-Training400/P0006.jpg,1
../../data/Training/PALM-Training400/N0078.jpg,0
../../data/Training/PALM-Training400/N0056.jpg,0
../../data/Training/PALM-Training400/P0130.jpg,1
../../data/Training/PALM-Training400/P0212.jpg,1
../../data/Training/PALM-Training400/P0189.jpg,1
../../data/Training/PALM-Training400/P0022.jpg,1
../../data/Training/PALM-Training400/P0100.jpg,1
../../data/Training/PALM-Training400/N0143.jpg,0
../../data/Training/PALM-Training400/P0167.jpg,1
../../data/Training/PALM-Training400/N0064.jpg,0
../../data/Training/PALM-Training400/P0191.jpg,1
../../data/Training/PALM-Training400/N0138.jpg,0
../../data/Training/PALM-Training400/N0122.jpg,0
../../data/Training/PALM-Training400/P0042.jpg,1
../../data/Training/PALM-Training400/N0067.jpg,0
../../data/Training/PALM-Training400/N0044.jpg,0
../../data/Training/PALM-Training400/N0098.jpg,0
../../data/Training/PALM-Training400/N0071.jpg,0
../../data/Training/PALM-Training400/N0118.jpg,0
../../data/Training/PALM-Training400/P0140.jpg,1
../../data/Training/PALM-Training400/N0072.jpg,0
../../data/Training/PALM-Training400/P0052.jpg,1
