imgPath,maskPath
../../data/PALM-Training400/PALM-Training400/P0101.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0101.bmp
../../data/PALM-Training400/PALM-Training400/N0007.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0007.bmp
../../data/PALM-Training400/PALM-Training400/N0066.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0066.bmp
../../data/PALM-Training400/PALM-Training400/H0022.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/H0022.bmp
../../data/PALM-Training400/PALM-Training400/P0195.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0195.bmp
../../data/PALM-Training400/PALM-Training400/P0048.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0048.bmp
../../data/PALM-Training400/PALM-Training400/N0140.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0140.bmp
../../data/PALM-Training400/PALM-Training400/P0089.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0089.bmp
../../data/PALM-Training400/PALM-Training400/N0113.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0113.bmp
../../data/PALM-Training400/PALM-Training400/P0060.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0060.bmp
../../data/PALM-Training400/PALM-Training400/P0142.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0142.bmp
../../data/PALM-Training400/PALM-Training400/P0208.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0208.bmp
../../data/PALM-Training400/PALM-Training400/H0024.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/H0024.bmp
../../data/PALM-Training400/PALM-Training400/P0091.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0091.bmp
../../data/PALM-Training400/PALM-Training400/P0111.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0111.bmp
../../data/PALM-Training400/PALM-Training400/P0191.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0191.bmp
../../data/PALM-Training400/PALM-Training400/P0174.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0174.bmp
../../data/PALM-Training400/PALM-Training400/P0187.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0187.bmp
../../data/PALM-Training400/PALM-Training400/H0015.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/H0015.bmp
../../data/PALM-Training400/PALM-Training400/P0129.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0129.bmp
../../data/PALM-Training400/PALM-Training400/N0065.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0065.bmp
../../data/PALM-Training400/PALM-Training400/P0066.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0066.bmp
../../data/PALM-Training400/PALM-Training400/H0009.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/H0009.bmp
../../data/PALM-Training400/PALM-Training400/N0057.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0057.bmp
../../data/PALM-Training400/PALM-Training400/N0088.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0088.bmp
../../data/PALM-Training400/PALM-Training400/N0052.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0052.bmp
../../data/PALM-Training400/PALM-Training400/P0196.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0196.bmp
../../data/PALM-Training400/PALM-Training400/P0063.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0063.bmp
../../data/PALM-Training400/PALM-Training400/P0083.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0083.bmp
../../data/PALM-Training400/PALM-Training400/N0077.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0077.bmp
../../data/PALM-Training400/PALM-Training400/P0132.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0132.bmp
../../data/PALM-Training400/PALM-Training400/P0163.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0163.bmp
../../data/PALM-Training400/PALM-Training400/P0056.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0056.bmp
../../data/PALM-Training400/PALM-Training400/P0144.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0144.bmp
../../data/PALM-Training400/PALM-Training400/N0011.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0011.bmp
../../data/PALM-Training400/PALM-Training400/N0010.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0010.bmp
../../data/PALM-Training400/PALM-Training400/N0159.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0159.bmp
../../data/PALM-Training400/PALM-Training400/N0026.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0026.bmp
../../data/PALM-Training400/PALM-Training400/P0190.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0190.bmp
../../data/PALM-Training400/PALM-Training400/N0122.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0122.bmp
../../data/PALM-Training400/PALM-Training400/P0053.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0053.bmp
../../data/PALM-Training400/PALM-Training400/P0127.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0127.bmp
../../data/PALM-Training400/PALM-Training400/N0008.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0008.bmp
../../data/PALM-Training400/PALM-Training400/N0136.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0136.bmp
../../data/PALM-Training400/PALM-Training400/P0037.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0037.bmp
../../data/PALM-Training400/PALM-Training400/P0003.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0003.bmp
../../data/PALM-Training400/PALM-Training400/N0063.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0063.bmp
../../data/PALM-Training400/PALM-Training400/P0071.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0071.bmp
../../data/PALM-Training400/PALM-Training400/N0059.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0059.bmp
../../data/PALM-Training400/PALM-Training400/H0026.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/H0026.bmp
../../data/PALM-Training400/PALM-Training400/P0092.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0092.bmp
../../data/PALM-Training400/PALM-Training400/P0102.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0102.bmp
../../data/PALM-Training400/PALM-Training400/N0025.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0025.bmp
../../data/PALM-Training400/PALM-Training400/P0121.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0121.bmp
../../data/PALM-Training400/PALM-Training400/P0123.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0123.bmp
../../data/PALM-Training400/PALM-Training400/P0054.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0054.bmp
../../data/PALM-Training400/PALM-Training400/P0150.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0150.bmp
../../data/PALM-Training400/PALM-Training400/P0134.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0134.bmp
../../data/PALM-Training400/PALM-Training400/P0007.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0007.bmp
../../data/PALM-Training400/PALM-Training400/N0132.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0132.bmp
../../data/PALM-Training400/PALM-Training400/P0021.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0021.bmp
../../data/PALM-Training400/PALM-Training400/P0034.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0034.bmp
../../data/PALM-Training400/PALM-Training400/P0151.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0151.bmp
../../data/PALM-Training400/PALM-Training400/P0114.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0114.bmp
../../data/PALM-Training400/PALM-Training400/P0198.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0198.bmp
../../data/PALM-Training400/PALM-Training400/N0076.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0076.bmp
../../data/PALM-Training400/PALM-Training400/P0181.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0181.bmp
../../data/PALM-Training400/PALM-Training400/P0162.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0162.bmp
../../data/PALM-Training400/PALM-Training400/N0095.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0095.bmp
../../data/PALM-Training400/PALM-Training400/P0044.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0044.bmp
../../data/PALM-Training400/PALM-Training400/P0001.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0001.bmp
../../data/PALM-Training400/PALM-Training400/P0030.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0030.bmp
../../data/PALM-Training400/PALM-Training400/H0023.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/H0023.bmp
../../data/PALM-Training400/PALM-Training400/P0047.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0047.bmp
../../data/PALM-Training400/PALM-Training400/P0058.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0058.bmp
../../data/PALM-Training400/PALM-Training400/N0050.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0050.bmp
../../data/PALM-Training400/PALM-Training400/P0146.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0146.bmp
../../data/PALM-Training400/PALM-Training400/N0151.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0151.bmp
../../data/PALM-Training400/PALM-Training400/N0101.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0101.bmp
../../data/PALM-Training400/PALM-Training400/P0197.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0197.bmp
../../data/PALM-Training400/PALM-Training400/P0178.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0178.bmp
../../data/PALM-Training400/PALM-Training400/P0109.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0109.bmp
../../data/PALM-Training400/PALM-Training400/P0076.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0076.bmp
../../data/PALM-Training400/PALM-Training400/P0024.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0024.bmp
../../data/PALM-Training400/PALM-Training400/N0154.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0154.bmp
../../data/PALM-Training400/PALM-Training400/P0002.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0002.bmp
../../data/PALM-Training400/PALM-Training400/P0012.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0012.bmp
../../data/PALM-Training400/PALM-Training400/P0128.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0128.bmp
../../data/PALM-Training400/PALM-Training400/P0051.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0051.bmp
../../data/PALM-Training400/PALM-Training400/P0167.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0167.bmp
../../data/PALM-Training400/PALM-Training400/N0061.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0061.bmp
../../data/PALM-Training400/PALM-Training400/P0176.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0176.bmp
../../data/PALM-Training400/PALM-Training400/H0005.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/H0005.bmp
../../data/PALM-Training400/PALM-Training400/N0047.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0047.bmp
../../data/PALM-Training400/PALM-Training400/H0014.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/H0014.bmp
../../data/PALM-Training400/PALM-Training400/P0154.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0154.bmp
../../data/PALM-Training400/PALM-Training400/P0201.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0201.bmp
../../data/PALM-Training400/PALM-Training400/P0185.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0185.bmp
../../data/PALM-Training400/PALM-Training400/P0118.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0118.bmp
../../data/PALM-Training400/PALM-Training400/P0077.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0077.bmp
../../data/PALM-Training400/PALM-Training400/P0097.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0097.bmp
../../data/PALM-Training400/PALM-Training400/N0054.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0054.bmp
../../data/PALM-Training400/PALM-Training400/P0140.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0140.bmp
../../data/PALM-Training400/PALM-Training400/P0055.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0055.bmp
../../data/PALM-Training400/PALM-Training400/N0096.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0096.bmp
../../data/PALM-Training400/PALM-Training400/P0016.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0016.bmp
../../data/PALM-Training400/PALM-Training400/P0182.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0182.bmp
../../data/PALM-Training400/PALM-Training400/N0006.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0006.bmp
../../data/PALM-Training400/PALM-Training400/N0124.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0124.bmp
../../data/PALM-Training400/PALM-Training400/N0093.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0093.bmp
../../data/PALM-Training400/PALM-Training400/P0122.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0122.bmp
../../data/PALM-Training400/PALM-Training400/N0102.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0102.bmp
../../data/PALM-Training400/PALM-Training400/N0112.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0112.bmp
../../data/PALM-Training400/PALM-Training400/N0024.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0024.bmp
../../data/PALM-Training400/PALM-Training400/H0012.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/H0012.bmp
../../data/PALM-Training400/PALM-Training400/P0207.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0207.bmp
../../data/PALM-Training400/PALM-Training400/N0087.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/N0087.bmp
../../data/PALM-Training400/PALM-Training400/P0136.jpg,../../data/PALM-Training400/PALM-Training400-Annotation-D&F/Disc_Masks/P0136.bmp
